seed,group,l2_relative_error,worst_expert_l2,routing_regret,soft_routing_regret,oracle_hit,effective_experts,min_load
42,P-B,0.3052787482738495,0.3055950403213501,1.765455999702681e-05,1.7837637642514892e-05,0.3135503828525543,3.675112724304199,0.09546331316232681
42,P-I,0.3053739070892334,0.3055950403213501,2.058163045148831e-05,2.0776749806827866e-05,0.2792634665966034,3.76344633102417,0.11653044074773788
42,R-B,0.24292415380477905,0.28773266077041626,0.0015185774536803365,0.001614609151147306,0.3968362510204315,3.531951665878296,0.07187069207429886
42,R-I,0.23407679796218872,0.28773266077041626,0.0015167114324867725,0.0016538361087441444,0.4381302297115326,3.9013564586639404,0.17441913485527039
43,P-B,0.27962514758110046,0.2798255681991577,2.3788854377926327e-05,2.3890102966106497e-05,0.3226972222328186,3.7768545150756836,0.13363486528396606
43,P-I,0.27967390418052673,0.2798255681991577,2.4955801563919522e-05,2.5275861844420433e-05,0.2721783518791199,3.5697741508483887,0.09813573211431503
43,R-B,0.23814657330513,0.27005240321159363,0.001693878322839737,0.001680749817751348,0.3856506645679474,2.9484188556671143,0.06191110238432884
43,R-I,0.2284613400697708,0.27005240321159363,0.0014885605778545141,0.0014996909303590655,0.4112544655799866,3.1719648838043213,0.06430801749229431
44,P-B,0.2757178544998169,0.2761681377887726,1.84887285286095e-05,1.8673506929189898e-05,0.253958135843277,3.778851270675659,0.13685829937458038
44,P-I,0.2757505774497986,0.2761681377887726,1.9206707293051295e-05,1.959770634130109e-05,0.2885618507862091,3.6767492294311523,0.13170631229877472
44,R-B,0.22036318480968475,0.26805946230888367,0.0012462378945201635,0.001272940426133573,0.41324731707572937,3.096426010131836,0.05928919091820717
44,R-I,0.2147640585899353,0.26805946230888367,0.001101454603485763,0.0011701139155775309,0.39024704694747925,3.4990053176879883,0.07417118549346924
45,P-B,0.2670665681362152,0.26755478978157043,1.4448826732404996e-05,1.4652022400696296e-05,0.3452015817165375,3.587973117828369,0.13781338930130005
45,P-I,0.2670222222805023,0.26755478978157043,1.3511209544958547e-05,1.3450732694764156e-05,0.38271650671958923,3.6040616035461426,0.10242905467748642
45,R-B,0.2056904435157776,0.25782060623168945,0.0008860348607413471,0.0009124191128648818,0.32805123925209045,2.8473966121673584,0.031068051233887672
45,R-I,0.22248853743076324,0.25782060623168945,0.0012854249216616154,0.0012908844510093331,0.3150564730167389,2.83233904838562,0.014909542165696621
46,P-B,0.3024187684059143,0.3027484714984894,2.217323890363332e-05,2.2118823835626245e-05,0.3295206129550934,3.439706563949585,0.14087611436843872
46,P-I,0.3023616671562195,0.3027484714984894,1.9932371287723072e-05,2.0371220671222545e-05,0.29844337701797485,3.928302764892578,0.18698227405548096
46,R-B,0.24319911003112793,0.29317915439605713,0.0018979291198775172,0.0019657493103295565,0.4005739688873291,3.280456781387329,0.037808798253536224
46,R-I,0.23585401475429535,0.29317915439605713,0.0016106176190078259,0.0017901663668453693,0.410400390625,3.1483843326568604,0.09602810442447662
47,P-B,0.2581367790699005,0.25864437222480774,2.1778574591735378e-05,2.23975603148574e-05,0.32972726225852966,3.8935890197753906,0.1917669177055359
47,P-I,0.25815147161483765,0.25864437222480774,2.2565660401596688e-05,2.2788108253735118e-05,0.32031407952308655,3.691119909286499,0.0937964916229248
47,R-B,0.20105962455272675,0.2564842998981476,0.0008562112343497574,0.0009333677589893341,0.3597896993160248,3.3523776531219482,0.06370189785957336
47,R-I,0.19479158520698547,0.2564842998981476,0.0007134075276553631,0.0007941226940602064,0.354518324136734,3.5517454147338867,0.1286986917257309
48,P-B,0.29697108268737793,0.29723143577575684,2.5890205506584607e-05,2.5890180040732957e-05,0.3334282338619232,3.776259660720825,0.1545688360929489
48,P-I,0.29699763655662537,0.29723143577575684,2.6828822228708304e-05,2.670212597877253e-05,0.29204243421554565,3.60550856590271,0.102410688996315
48,R-B,0.22420600056648254,0.27240291237831116,0.001263918005861342,0.0012731299502775073,0.39499494433403015,3.337315797805786,0.03545321151614189
48,R-I,0.23587805032730103,0.27240291237831116,0.0015715789049863815,0.001577418646775186,0.3802690804004669,3.2249324321746826,0.08205528557300568
49,P-B,0.26154273748397827,0.2619132101535797,2.023334673140198e-05,1.9960931240348145e-05,0.3067728877067566,3.5397043228149414,0.12568187713623047
49,P-I,0.2616298198699951,0.2619132101535797,2.1987785657984205e-05,2.2262631318881176e-05,0.3379649221897125,3.508676052093506,0.10128110647201538
49,R-B,0.20304816961288452,0.24535633623600006,0.0008840394439175725,0.0009170340490527451,0.36153456568717957,3.437899351119995,0.05608412250876427
49,R-I,0.21293655037879944,0.24535633623600006,0.0010798665462061763,0.0011311945272609591,0.37234824895858765,3.7394702434539795,0.15834328532218933
50,P-B,0.3155094385147095,0.3158690929412842,2.5165245460812002e-05,2.5436567739234306e-05,0.3161493241786957,3.823211193084717,0.16898246109485626
50,P-I,0.3155979812145233,0.3158690929412842,2.793408748402726e-05,2.8293537980061956e-05,0.3116493821144104,3.890712261199951,0.18313436210155487
50,R-B,0.2602052390575409,0.30849623680114746,0.002391069196164608,0.0023567229509353638,0.3650243282318115,3.3906452655792236,0.050151530653238297
50,R-I,0.26339420676231384,0.30849623680114746,0.0024952152743935585,0.002486714394763112,0.3272293210029602,3.5131447315216064,0.07306455820798874
51,P-B,0.27627819776535034,0.2767673134803772,1.8125989299733192e-05,1.8346403521718457e-05,0.41401413083076477,3.519075393676758,0.11713197082281113
51,P-I,0.27629607915878296,0.2767673134803772,1.809375135053415e-05,1.8880049537983723e-05,0.37696757912635803,3.61606764793396,0.10458719730377197
51,R-B,0.21734321117401123,0.25940096378326416,0.0014018486253917217,0.0014041628455743194,0.405895859003067,3.295351266860962,0.11696207523345947
51,R-I,0.21364901959896088,0.25940096378326416,0.0013543154345825315,0.0013557695783674717,0.39379191398620605,3.775959014892578,0.15716318786144257
