mode,capability_region,expert,mean_local_relative_l2,sample_std,n_seeds
staged,Smooth,Smooth,0.21624366492033004,0.011880237772789504,10
staged,Smooth,Iso. shock,0.24495069235563277,0.023994134517094732,10
staged,Smooth,Directional shock,0.20342737287282944,0.017343177427898926,10
staged,Smooth,Wave,0.2438455566763878,0.0374871118486634,10
staged,Iso. shock,Smooth,0.16205969750881194,0.01036744370614684,10
staged,Iso. shock,Iso. shock,0.12812573313713074,0.007557773532967781,10
staged,Iso. shock,Directional shock,0.13593797981739045,0.009370156816448294,10
staged,Iso. shock,Wave,0.1450765997171402,0.013436392789752017,10
staged,Directional shock,Smooth,0.4787145495414734,0.036034951399782314,10
staged,Directional shock,Iso. shock,0.4273559957742691,0.03292357601260509,10
staged,Directional shock,Directional shock,0.4177657663822174,0.028035527523897187,10
staged,Directional shock,Wave,0.3554208010435104,0.03016462997676327,10
staged,Wave,Smooth,0.4473821073770523,0.0337980027522679,10
staged,Wave,Iso. shock,0.404917049407959,0.04699880627596129,10
staged,Wave,Directional shock,0.33772330582141874,0.022422436584465365,10
staged,Wave,Wave,0.28634994328022,0.01638502971033099,10
coadapt,Smooth,Smooth,0.2652668461203575,0.0558877179144398,10
coadapt,Smooth,Iso. shock,0.4189379304647446,0.1423783248668506,10
coadapt,Smooth,Directional shock,21.663633394241334,11.472360361265375,10
coadapt,Smooth,Wave,3.3904014945030214,3.1303939065860322,10
coadapt,Iso. shock,Smooth,0.17210789322853087,0.01815883182202524,10
coadapt,Iso. shock,Iso. shock,0.1971253499388695,0.07536664531794224,10
coadapt,Iso. shock,Directional shock,6.75838303565979,3.25467008222366,10
coadapt,Iso. shock,Wave,1.4122555881738663,1.3064833963009248,10
coadapt,Directional shock,Smooth,0.4892064481973648,0.03593233637515995,10
coadapt,Directional shock,Iso. shock,0.5702151536941529,0.21127114977331793,10
coadapt,Directional shock,Directional shock,12.292649054527283,5.7581095873049986,10
coadapt,Directional shock,Wave,2.5846102595329286,3.030922713815414,10
coadapt,Wave,Smooth,0.4629977822303772,0.03260484778673232,10
coadapt,Wave,Iso. shock,0.5487283378839493,0.2593499946070922,10
coadapt,Wave,Directional shock,14.39407172203064,6.4707261639109745,10
coadapt,Wave,Wave,2.73660945892334,3.2562000920092657,10
