l2_mixed,l2_oracle,routing_regret,worst_expert_l2,expert_l2_interior,expert_l2_exterior,expert_l2_interface,effective_experts,min_load,mean_gate_entropy,error_cancellation,load_interior,load_exterior,load_interface,region_l2_interior,region_l2_exterior,region_l2_interface,interface_mixed_l2,mode,seed,run
0.22751861810684204,0.5823448896408081,-0.35482627153396606,1.284643530845642,0.7598944306373596,0.6877303719520569,1.284643530845642,1.788252592086792,0.02202010154724121,1.092313289642334,0.7488586008548737,0.18576273322105408,0.7922171950340271,0.02202010154724121,0.2977203130722046,0.7683785557746887,1.9225960969924927,1.420669674873352,coadapt,42,coadapt_seed42
0.6548817753791809,0.29974520206451416,0.35513657331466675,1.6199265718460083,0.6800276041030884,0.9644038677215576,1.6199265718460083,1.947704792022705,0.000576537277083844,0.9480496644973755,0.2621668577194214,0.37595120072364807,0.623472273349762,0.000576537277083844,0.24811744689941406,0.29989731311798096,4.819546699523926,2.1213510036468506,coadapt,43,coadapt_seed43
0.17281271517276764,0.21383321285247803,-0.04102049767971039,1.4370691776275635,0.8391425013542175,0.2720852196216583,1.4370691776275635,1.0386707782745361,0.0,0.8298470973968506,0.6953687071800232,0.00624833581969142,0.9937516450881958,0.0,0.5391201376914978,0.15339253842830658,4.5008416175842285,1.1188013553619385,coadapt,44,coadapt_seed44
1.03518545627594,0.7685933113098145,0.2665921449661255,1.5494531393051147,0.9847030639648438,1.1115468740463257,1.5494531393051147,1.8820894956588745,0.0,0.9939616918563843,0.0990602970123291,0.32748404145240784,0.6725159287452698,0.0,1.4821313619613647,0.7027837634086609,5.102807998657227,2.9349634647369385,coadapt,45,coadapt_seed45
0.6853809356689453,0.40424251556396484,0.28113842010498047,1.468353271484375,0.8533028960227966,1.1063827276229858,1.468353271484375,1.9170056581497192,0.0003694668412208557,0.8425524234771729,0.31714844703674316,0.35030344128608704,0.6493270993232727,0.0003694668412208557,0.784927248954773,0.11958086490631104,4.865622043609619,2.6984565258026123,coadapt,46,coadapt_seed46
0.040030647069215775,0.19494618475437164,-0.15491553768515587,1.130456805229187,0.5703683495521545,1.130456805229187,0.6666243672370911,1.899758219718933,0.0,0.6003454327583313,0.9077598378062248,0.34104564785957336,0.6589543223381042,0.0,0.28379157185554504,0.12621936202049255,2.264971971511841,0.2781103849411011,coadapt,47,coadapt_seed47
0.27333858609199524,0.17608430981636047,0.09725427627563477,1.0055880546569824,0.9101248383522034,0.3237604796886444,1.0055880546569824,1.0,0.0,0.8139223456382751,0.47967588901519775,0.0,1.0,0.0,0.5401765704154968,0.23222878575325012,1.0595197677612305,1.682180404663086,coadapt,48,coadapt_seed48
0.6859008073806763,0.5525635480880737,0.13333725929260254,1.3001368045806885,0.8843502998352051,0.6594270467758179,1.3001368045806885,1.0,0.0,1.0037906169891357,0.19181787967681885,0.0,1.0,0.0,0.39979296922683716,0.6795799136161804,3.954484701156616,2.2183048725128174,coadapt,49,coadapt_seed49
0.8619090914726257,0.6336346864700317,0.228274405002594,1.2258814573287964,0.9476475119590759,0.9245981574058533,1.2258814573287964,1.0,0.0,0.8680329322814941,0.09625130891799927,0.0,1.0,0.0,0.6144747734069824,0.978601336479187,3.577275514602661,2.649256706237793,coadapt,50,coadapt_seed50
0.2361336052417755,0.4232114255428314,-0.1870778203010559,1.590453863143921,0.9485328793525696,0.4780941307544708,1.590453863143921,1.2121261358261108,0.0,1.0414303541183472,0.723302811384201,0.04793047159910202,0.9520695209503174,0.0,0.2708989977836609,0.45714253187179565,2.383434772491455,1.468538522720337,coadapt,51,coadapt_seed51
0.036245498806238174,0.03590894117951393,0.00033655762672424316,1.0102900266647339,0.6960090398788452,0.4417553246021271,1.0102900266647339,2.3775486946105957,0.0928303524851799,0.2904590368270874,0.6545981168746948,0.2755799889564514,0.6315896511077881,0.0928303524851799,0.03105578012764454,0.03661471605300903,0.18178285658359528,0.20695418119430542,staged,42,staged_seed42
0.03018994629383087,0.047720786184072495,-0.017530839890241623,0.9220930337905884,0.7609881162643433,0.8238953351974487,0.9220930337905884,2.3860340118408203,0.08971644937992096,0.35590660572052,0.7867700159549713,0.2875206470489502,0.62276291847229,0.08971644937992096,0.024784889072179794,0.0668628066778183,0.19179855287075043,0.16107387840747833,staged,43,staged_seed43
0.026011325418949127,0.03500589355826378,-0.008994568139314651,1.1223480701446533,0.695680558681488,0.2964317500591278,1.1223480701446533,2.436457872390747,0.11713486909866333,0.2776143550872803,0.6797341704368591,0.2535363435745239,0.6293287873268127,0.11713486909866333,0.02990008145570755,0.02884160354733467,0.2028123438358307,0.14360663294792175,staged,44,staged_seed44
0.025871548801660538,0.03333527222275734,-0.007463723421096802,1.1141363382339478,0.6166489124298096,0.259026437997818,1.1141363382339478,2.373431921005249,0.10128100216388702,0.2687438130378723,0.6740020215511322,0.25544223189353943,0.6432767510414124,0.10128100216388702,0.03205376863479614,0.025433655828237534,0.2083076387643814,0.1481938511133194,staged,45,staged_seed45
