seed,mode,soft_relative_l2,worst_branch_l2,oracle_l2,aggregation_gain,soft_routing_regret,effective_experts,top1_ratio,temperature_2_ratio,delete_highest_load_ratio
42,staged,0.3330092132091522,0.394904226064682,0.2774495780467987,0.042111199852085335,0.0022970661520957947,3.605715751647949,1.0119007314791073,0.998516279180074,1.0090602818076175
42,coadapt,0.3394491970539093,27.122390747070312,0.2791069447994232,0.978899003953697,0.3187451958656311,2.4695637226104736,1.1644851525786817,3.324307014251505,1.6298622698369845
43,staged,0.35028254985809326,0.3926997780799866,0.3174645006656647,0.02788124853236007,0.001506016356870532,3.956160306930542,0.9988779543034383,1.0116563259452562,1.0080671920576725
43,coadapt,0.3313804864883423,4.9682536125183105,0.26933836936950684,0.7240903405602704,0.01927240751683712,2.5867109298706055,1.0734187560997632,1.1901951600480751,1.2232469284892804
44,staged,0.33250054717063904,0.3814437687397003,0.294797420501709,0.03636257582348046,0.0016474917065352201,3.645512580871582,0.9907292074020422,1.0210001607081989,1.0508139964382475
44,coadapt,0.37182310223579407,11.328922271728516,0.26806822419166565,0.8880607487394143,0.06888015568256378,2.4190776348114014,0.9066679394785944,1.7016937616105015,1.4130323598005277
45,staged,0.35391876101493835,0.3906967043876648,0.32481029629707336,0.024014206422276363,0.0013523674570024014,3.61576509475708,0.9955676132030342,1.0117605569699002,1.0177665139185637
45,coadapt,0.3458574712276459,20.723176956176758,0.28091543912887573,0.9496119256017389,0.1359008103609085,2.8665952682495117,1.128454239451425,2.1485286018992937,1.3058392418956195
46,staged,0.3330797255039215,0.3945973813533783,0.27682605385780334,0.051258043523712216,0.0023865450639277697,3.4115757942199707,0.9942726130944397,1.0049064533963428,1.0161816507984172
46,coadapt,0.3256874978542328,6.4701247215271,0.2690914571285248,0.8386551183775708,0.034642212092876434,2.6809074878692627,1.1181378479408293,1.2119225944407064,1.2966151332979938
47,staged,0.3520669639110565,0.381626695394516,0.32144710421562195,0.023457376243061656,0.0013974745525047183,3.925468683242798,1.0029892307951465,1.0083654105881563,1.001139468063701
47,coadapt,0.3482706844806671,10.359521865844727,0.2543369233608246,0.9074675009913048,0.0737902820110321,2.3558456897735596,1.0945633780519894,1.7432740388626586,1.2316153696402328
48,staged,0.36001282930374146,0.3958471715450287,0.3198581039905548,0.02936408017820935,0.001848753192462027,3.33990478515625,1.0042087657758352,1.006391294190923,1.0017490028581064
48,coadapt,0.3396773934364319,10.40360164642334,0.294736385345459,0.9344851212572471,0.09914309531450272,2.661496162414551,1.1505047254345226,1.9252412902904292,1.3945890927646516
49,staged,0.33168405294418335,0.37167567014694214,0.29635733366012573,0.035135773184052144,0.0015509802615270019,3.8947439193725586,1.0049165863244163,1.0049462373320563,1.0050840695918135
49,coadapt,0.3477831780910492,18.50584602355957,0.2745121121406555,0.9682298696051258,0.22098034620285034,2.1291985511779785,0.9841613303961458,2.761929367821721,1.4879017541803035
50,staged,0.38603198528289795,0.44947367906570435,0.3309772312641144,0.029344044412364156,0.0026042903773486614,3.797689199447632,1.0064449516424043,1.001981535825754,0.9646523561493154
50,coadapt,0.3520798981189728,12.895878791809082,0.30250585079193115,0.9232632869043853,0.09023843705654144,2.3464221954345703,1.1487553455307211,1.783790216915904,1.25908694725111
51,staged,0.3497750759124756,0.3788211941719055,0.2987350523471832,0.040367826290024,0.0022647699806839228,3.8670358657836914,1.0122099391777994,1.0003612660124344,1.0349101401916618
51,coadapt,0.3390812873840332,22.252254486083984,0.28547558188438416,0.9425476865160789,0.11367928236722946,2.2947239875793457,1.0767164307662018,2.59428301727593,1.7760105750908797
