coarse_grid,fine_grid,region,relative_l2_difference,max_absolute_difference
129,257,global,0.02210411950166195,0.17312604188919067
129,257,steep-gradient,0.04856958583745049,0.17312604188919067
257,513,global,0.004657546583429349,0.04973834753036499
257,513,steep-gradient,0.010256334036582222,0.04973834753036499
