seed,final_mixture_l2,final_worst_subnet_l2,worst_to_mixture_ratio,final_cancellation_ratio,minimum_soft_load,near_starved_subnets,top1_to_soft_l2_ratio,uniform_to_soft_l2_ratio,oracle_l2,responsibility_branch_to_mixture_rmse_ratio,responsibility_branch_pointwise_win_rate,redundant_by_deletion_count,best_mixture_l2,best_mixture_step,worst_subnet_l2_at_best_mixture,cancellation_at_best_mixture
42,0.3069838583469391,1.7241002321243286,5.616256963504021,0.24342380556001245,0.02243044413626194,1,1.0491024146701713,1.7478959761789037,0.16111797094345093,1.0491031353952616,0.32123769899466265,1,0.23329104483127594,5000,1.4896948337554932,0.3925740821216787
43,0.26447340846061707,1.5613880157470703,5.903761836909126,0.3881140121381454,0.040450986474752426,2,1.1056438829588207,2.049701228873423,0.16883699595928192,1.1056395031379058,0.40752645687326294,1,0.23093892633914948,7500,1.8347216844558716,0.5460586372287006
44,0.18849052488803864,1.3910953998565674,7.380187416226164,0.3078457739225303,0.00352872465737164,1,1.1309231270035423,2.7280912908517627,0.11410892754793167,1.1309231336194079,0.30581931215132113,0,0.17742137610912323,6300,1.3766311407089233,0.3806956964905304
